"symbol","logFC","logCPM","F","PValue","FDR"
"BMP10",-4.92184016777913,-2.16049157808721,237.905849641545,4.06893382789753e-43,3.2083543232972e-40
"UBE2T",3.53715155449148,2.90134871626948,235.252202498205,9.640155960939e-43,7.31973471685965e-40
"CDKN3",4.54565624689333,2.8121430305411,229.729869589128,5.86795001580846e-42,4.2963872597889e-39
"FCN3",-4.03612185014751,4.65579111772426,229.339351288019,6.67123194564541e-42,4.71610090060954e-39
"SLC26A6",2.89548542680546,4.16384872887526,227.18049190181,1.35779725747267e-41,9.27873385848238e-39
"CLEC4M",-5.52285963823249,2.32094116734838,220.953682743904,1.06846722606447e-40,7.06601503275736e-38
"FOS",-3.0713139660655,6.96394888131163,219.474707938069,1.7491475338585e-40,1.12060229973853e-37
"COLEC10",-3.9556203817712,2.43556699829036,217.26664571902,3.65875890842577e-40,2.27297625398899e-37
"TUBE1",-1.89484870844144,3.44438681680043,238.706722729499,4.50556206359297e-40,2.71672140781528e-37
"C1RL",-1.64614350089013,7.20104495985536,226.459715537296,4.68623121750885e-40,2.74492646257569e-37
"CDC37L1",-1.58843991591717,4.6921798761155,221.727580635748,5.8677208523414e-40,3.34150403316253e-37
"COL15A1",4.43115204142622,4.33575633066789,214.413014910094,9.53195165285216e-40,5.28147407662492e-37
"MARCO",-4.7725961046986,3.85409148633951,212.900445391326,1.58618905805563e-39,8.55748996821012e-37
"CD34",2.17863372656697,5.22018828217119,212.23443991587,1.98566864626092e-39,1.04379981838449e-36
"CETP",-2.81707712440978,3.12935181122451,210.197888767124,3.95220929327131e-39,2.02560606803388e-36
"PRC1",3.49508167774442,4.12262568467754,210.11012643346,4.07139802601718e-39,2.03579831539947e-36
"CDCA5",3.60855987112617,3.46075389915991,208.951699678687,6.02883435620586e-39,2.9427888842042e-36
"CDC25C",5.01884284825567,1.9620181268212,207.705461106458,9.20438509540941e-39,4.38835113583694e-36
"NUF2",4.9433476831861,2.46917596470299,207.178178752994,1.10116658312879e-38,5.13068548198256e-36
"PHLDA1",-2.41410197062452,6.61365058701891,206.931616364187,1.19751945992055e-38,5.45563254396249e-36
"PLSCR4",-1.89665468025136,4.3828014919047,204.51473342567,2.72980077333099e-38,1.21660099247954e-35
"AADAT",-2.79850706325347,3.57715583469941,204.272834631524,2.96498538524763e-38,1.29330139112684e-35
"KIFC1",4.09339387419894,3.67644805384778,203.461130156667,3.91344904184682e-38,1.67145039181045e-35
"CENPF",4.09349696428406,4.42223842363386,202.336709226503,5.75164804674452e-38,2.40641911441448e-35
"ANKRD55",-3.22429058237025,-1.19244537650069,232.026435399637,6.42657146906921e-38,2.62902213680805e-35
"RACGAP1",2.6428785956178,3.72499725709131,201.961994656837,6.54017506351936e-38,2.62902213680805e-35
"KIF4A",4.52211869000566,3.27937822385776,198.656957975492,2.03787369068235e-37,8.03431702551518e-35
"NDC80",3.93502312384159,2.70497999765906,198.309792003851,2.29708081473688e-37,8.88536863828695e-35
"CCNB1",3.44800470726717,4.26251087424511,197.810483680235,2.72906713494523e-37,1.03608528395393e-34
"NTF3",-3.01035677802483,-0.443881201291662,202.863228236202,3.22174627082261e-37,1.2008912781479e-34
"EHD3",-2.14068728620599,2.61269802468182,209.172611884787,3.31732628973735e-37,1.21443761189117e-34
"MELK",4.32787333265202,2.54869127355906,196.873984194568,3.7717407684969e-37,1.35656942973605e-34
"SKA1",4.64790458562955,2.21874951774728,195.964623969631,5.16654067107913e-37,1.82619397065161e-34
"ETS2",-1.62644222458425,7.65225980796092,194.932446176674,7.38852457423617e-37,2.56732444570196e-34
"ACADS",-1.75609907176365,6.77200941690844,194.346527591234,9.05445450379676e-37,3.09375619637229e-34
"NCAPG",3.9919823600353,3.48468853916389,192.395600586479,1.78440360803513e-36,5.99705874890628e-34
"CXCL12",-2.65818677359612,6.10755559475454,191.068331304598,2.83446975741737e-36,9.3724942736796e-34
"CCNB2",4.18296740115453,3.11260957330713,190.567516811071,3.37613041770209e-36,1.09863570941763e-33
"DNASE1L3",-2.89407129218504,4.72348436031695,189.993571120449,4.12603506948414e-36,1.3216850774921e-33
"DUSP6",-1.71153799807344,6.44000509423332,188.654305943287,6.5936243828388e-36,2.07962913034736e-33
"GPR182",-3.47557758026613,-0.390170900980697,187.792392973052,8.92041978908737e-36,2.77087160751637e-33
"CDCA3",3.85782139432359,2.53399073170165,187.606628284329,9.52137568149072e-36,2.91339884845136e-33
"NEK2",4.18279583548443,2.8181868638983,187.276784619063,1.06904491213857e-35,3.2230131976107e-33
"ASPM",3.96645932568765,4.12550396158101,186.016239637658,1.6651782882349e-35,4.94751015755126e-33
"HJURP",4.08739617282635,2.77661426555147,185.595151032397,1.93126916773337e-35,5.65613560110027e-33
"CDK1",3.71774325167356,3.71960779747266,184.916119548522,2.45333393709032e-35,7.08391535835052e-33
"PKMYT1",3.66067344290546,2.59428247734491,184.790951608573,2.5640357686494e-35,7.30073573515019e-33
